,texture,category
0,313.2,2
1,835.1,4
2,600.6,4
3,228.4,1
4,142.5,0
5,619.0,4
6,297.2,2
7,639.9,4
8,235.8,1
9,900.2,4
10,223.5,1
11,184.2,1
12,399.1,3
13,114.2,0
14,786.0,4
15,255.5,1
16,350.0,2
17,352.5,3
18,329.1,2
19,1284.6,4
20,255.5,1
21,961.6,4
22,265.3,1
23,393.0,3
24,1074.6,4
25,336.5,2
26,512.1,4
27,331.6,2
28,456.9,3
29,358.6,3
30,310.7,2
31,275.1,2
32,967.8,4
33,783.6,4
34,276.3,2
35,442.1,3
36,234.6,1
37,383.2,3
38,443.4,3
39,320.5,2
40,304.6,2
41,298.4,2
42,162.1,0
43,1235.5,4
44,512.1,4
45,1086.9,4
46,875.7,4
47,316.9,2
48,418.8,3
49,865.8,4
50,163.3,0
51,174.4,1
52,384.4,3
53,337.7,2
54,429.9,3
55,315.6,2
56,517.1,4
57,424.9,3
58,113.0,0
59,278.8,2
60,806.9,4
61,304.6,2
62,354.9,3
63,350.0,2
64,374.6,3
65,178.1,1
66,476.5,4
67,275.1,2
68,826.5,4
69,1093.1,4
70,358.6,3
71,1008.3,4
72,402.8,3
73,1046.4,4
74,1342.4,4
75,229.7,1
76,888.0,4
77,343.9,2
78,856.0,4
79,219.8,1
80,638.6,4
81,72.5,0
82,305.8,2
83,278.8,2
84,400.4,3
85,146.1,0
86,573.5,4
87,183.0,1
88,498.6,4
89,154.7,0
90,304.6,2
91,359.8,3
92,426.2,3
93,385.6,3
94,329.1,2
95,261.6,1
96,831.5,4
97,680.4,4
98,739.3,4
99,320.5,2
100,259.1,1
101,876.9,4
102,282.5,2
103,1080.8,4
104,243.2,1
105,316.9,2
106,1083.2,4
107,510.9,4
108,503.5,4
109,697.6,4
110,552.7,4
111,181.8,1
112,962.9,4
113,1283.4,4
114,930.9,4
115,309.5,2
116,383.2,3
117,163.3,0
118,1020.6,4
119,433.5,3
120,956.7,4
121,211.2,1
122,612.8,4
123,1434.5,4
124,357.4,3
125,373.4,3
126,1056.2,4
127,388.1,3
128,305.8,2
129,323.0,2
130,1063.6,4
131,610.4,4
132,472.8,4
133,228.4,1
134,800.8,4
135,283.7,2
136,547.8,4
137,384.4,3
138,438.4,3
139,477.8,4
140,944.4,4
141,697.6,4
142,244.4,1
143,326.7,2
144,343.9,2
146,1112.7,4
147,337.7,2
148,305.8,2
149,388.1,3
150,1278.5,4
151,432.3,3
152,72.5,0
153,269.0,1
154,493.7,4
155,323.0,2
156,281.2,2
157,644.8,4
158,179.3,1
159,382.0,3
160,633.7,4
161,367.2,3
162,700.0,4
163,736.9,4
164,278.8,2
165,152.3,0
166,170.7,1
167,600.6,4
168,417.6,3
169,545.3,4
170,436.0,3
171,1039.0,4
172,1174.1,4
173,440.9,3
174,416.3,3
175,664.4,4
176,396.7,3
177,681.6,4
178,284.9,2
179,296.0,2
180,1030.4,4
181,1041.5,4
182,646.0,4
183,840.1,4
184,226.0,1
185,1042.7,4
186,1314.1,4
187,1190.1,4
188,329.1,2
189,379.5,3
190,1214.6,4
191,256.7,1
192,765.1,4
193,257.9,1
194,550.2,4
195,1160.6,4
196,1094.3,4
197,286.2,2
198,339.0,2
199,259.1,1
200,480.2,4
201,373.4,3
202,507.2,4
203,164.6,0
204,417.6,3
205,205.1,1
206,603.0,4
207,303.4,2
208,149.8,0
209,300.9,2
210,562.5,4
211,226.0,1
212,1012.0,4
213,221.1,1
214,1016.9,4
215,185.5,1
216,273.9,1
217,397.9,3
218,830.2,4
219,211.2,1
220,509.7,4
221,405.3,3
222,545.3,4
223,158.4,0
224,479.0,4
225,465.5,4
226,518.3,4
227,549.0,4
228,321.8,2
229,343.9,2
230,1131.1,4
231,658.3,4
232,129.0,0
233,174.4,1
234,267.7,1
235,697.6,4
236,246.9,1
237,256.7,1
238,350.0,2
239,447.0,3
240,307.0,2
241,244.4,1
242,362.3,3
243,649.7,4
244,390.6,3
245,673.0,4
246,212.5,1
247,350.0,2
248,334.1,2
249,525.6,4
250,357.4,3
251,975.2,4
252,248.1,1
253,434.8,3
254,206.3,1
255,358.6,3
256,373.4,3
257,265.3,1
258,176.9,1
259,273.9,1
260,174.4,1
261,321.8,2
262,146.1,0
263,465.5,4
264,1459.0,4
265,210.0,1
266,308.3,2
267,190.4,1
268,318.1,2
269,790.9,4
270,479.0,4
271,307.0,2
272,1177.8,4
273,251.8,1
274,269.0,1
275,245.6,1
276,380.7,3
277,854.8,4
278,490.0,4
279,1144.6,4
280,366.0,3
281,858.5,4
282,1007.1,4
283,470.4,4
284,382.0,3
285,470.4,4
286,588.3,4
287,1144.6,4
288,286.2,2
289,262.8,1
290,165.8,1
291,293.5,2
292,480.2,4
293,294.8,2
294,665.7,4
295,138.8,0
296,377.0,3
297,1316.6,4
298,522.0,4
299,1263.8,4
300,300.9,2
301,872.0,4
302,278.8,2
303,364.8,3
304,881.8,4
305,568.6,4
306,1058.7,4
307,540.4,4
308,273.9,1
309,445.8,3
310,336.5,2
311,706.2,4
312,456.9,3
313,885.5,4
314,57.7,0
315,493.7,4
316,394.2,3
317,592.0,4
318,496.2,4
319,607.9,4
320,463.0,4
321,1073.4,4
322,682.9,4
323,384.4,3
324,395.5,3
325,773.7,4
326,375.8,3
327,1069.7,4
328,278.8,2
329,448.3,3
330,605.5,4
331,364.8,3
332,486.3,4
333,646.0,4
334,275.1,2
335,515.8,4
336,890.4,4
337,955.5,4
338,477.8,4
339,432.3,3
340,534.2,4
341,422.5,3
342,1098.0,4
343,226.0,1
344,200.2,1
345,367.2,3
346,361.1,3
347,476.5,4
348,257.9,1
349,928.5,4
350,368.4,3
351,239.5,1
352,277.6,2
353,711.1,4
354,1406.2,4
355,1242.9,4
356,888.0,4
357,865.8,4
358,1141.0,4
359,348.8,2
360,331.6,2
361,343.9,2
362,606.7,4
363,585.8,4
364,953.0,4
365,698.8,4
366,234.6,1
367,406.5,3
368,835.1,4
369,115.4,0
370,619.0,4
371,923.6,4
372,291.1,2
373,733.2,4
374,423.7,3
375,223.5,1
376,359.8,3
377,913.7,4
378,539.2,4
379,117.9,0
380,1187.6,4
381,542.8,4
382,245.6,1
383,374.6,3
384,442.1,3
385,226.0,1
386,264.1,1
387,401.6,3
388,367.2,3
389,267.7,1
390,31.9,0
391,218.6,1
392,191.6,1
393,926.0,4
394,493.7,4
395,388.1,3
396,369.7,3
397,143.7,0
398,843.7,4
399,1142.2,4
400,503.5,4
401,751.6,4
402,305.8,2
403,307.0,2
404,383.2,3
405,298.4,2
406,767.6,4
407,524.4,4
408,407.7,3
409,905.1,4
410,555.1,4
411,340.2,2
412,644.8,4
413,206.3,1
414,369.7,3
415,954.3,4
416,379.5,3
417,361.1,3
418,690.2,4
419,339.0,2
420,826.5,4
421,407.7,3
422,312.0,2
423,251.8,1
424,370.9,3
425,924.8,4
426,518.3,4
427,623.9,4
428,888.0,4
429,350.0,2
430,665.7,4
431,297.2,2
432,1492.2,4
433,309.5,2
434,444.6,3
435,916.2,4
436,284.9,2
437,690.2,4
438,262.8,1
439,294.8,2
440,993.6,4
441,431.1,3
442,276.3,2
443,377.0,3
444,176.9,1
445,494.9,4
446,216.2,1
447,714.8,4
448,223.5,1
449,254.2,1
450,271.4,1
451,800.8,4
452,1109.0,4
453,569.9,4
454,354.9,3
455,1269.9,4
456,592.0,4
457,474.1,4
458,1088.1,4
459,180.5,1
460,323.0,2
461,405.3,3
462,337.7,2
463,388.1,3
464,340.2,2
465,144.9,0
466,191.6,1
467,124.0,0
468,352.5,3
469,238.3,1
470,88.4,0
471,453.2,3
472,660.7,4
473,487.6,4
474,867.1,4
475,1185.2,4
476,283.7,2
478,272.6,1
479,210.0,1
480,461.8,4
481,491.3,4
482,296.0,2
483,584.6,4
484,1165.5,4
485,482.7,4
486,530.6,4
487,399.1,3
488,486.3,4
489,1086.9,4
490,551.4,4
491,300.9,2
492,497.4,4
493,358.6,3
494,515.8,4
495,347.6,2
496,431.1,3
497,881.8,4
498,384.4,3
499,165.8,1
500,994.8,4
501,325.5,2
502,1025.5,4
503,1070.9,4
504,357.4,3
505,1172.9,4
506,305.8,2
507,670.6,4
508,719.7,4
509,409.0,3
510,246.9,1
511,337.7,2
512,1257.6,4
513,284.9,2
514,393.0,3
515,310.7,2
516,991.1,4
517,296.0,2
518,377.0,3
519,494.9,4
520,382.0,3
521,788.5,4
522,560.0,4
523,278.8,2
524,1008.3,4
525,277.6,2
526,254.2,1
527,291.1,2
528,400.4,3
529,384.4,3
530,147.4,0
531,316.9,2
532,510.9,4
533,180.5,1
534,523.2,4
535,482.7,4
536,324.2,2
537,919.9,4
538,331.6,2
539,353.7,3
540,235.8,1
541,724.6,4
542,397.9,3
543,407.7,3
544,460.6,4
545,218.6,1
546,336.5,2
547,390.6,3
548,541.6,4
549,200.2,1
550,354.9,3
551,348.8,2
552,626.4,4
553,915.0,4
554,622.7,4
555,228.4,1
556,443.4,3
557,492.5,4
558,664.4,4
559,1150.8,4
560,889.2,4
561,452.0,3
562,663.2,4
563,183.0,1
564,542.8,4
565,531.8,4
566,660.7,4
567,142.5,0
568,465.5,4
569,981.3,4
570,324.2,2
571,318.1,2
572,1306.8,4
573,522.0,4
574,397.9,3
575,367.2,3
576,496.2,4
577,935.9,4
578,1102.9,4
579,289.8,2
580,1155.7,4
581,490.0,4
582,293.5,2
583,485.1,4
584,233.3,1
585,496.2,4
586,362.3,3
587,384.4,3
588,324.2,2
589,390.6,3
590,283.7,2
591,562.5,4
592,217.4,1
593,503.5,4
594,293.5,2
595,506.0,4
596,245.6,1
597,232.1,1
598,915.0,4
599,346.3,2
600,305.8,2
601,650.9,4
602,299.7,2
603,221.1,1
604,760.2,4
605,632.5,4
606,483.9,4
607,658.3,4
608,598.1,4
609,358.6,3
610,986.2,4
611,1012.0,4
612,1083.2,4
613,370.9,3
614,469.2,4
615,788.5,4
616,358.6,3
617,422.5,3
618,852.3,4
619,374.6,3
620,340.2,2
621,396.7,3
622,233.3,1
623,394.2,3
624,935.9,4
625,549.0,4
626,1139.7,4
627,1195.0,4
628,821.6,4
629,960.4,4
630,229.7,1
631,287.4,2
632,289.8,2
633,506.0,4
634,275.1,2
635,72.5,0
636,768.8,4
637,496.2,4
638,955.5,4
639,1421.0,4
640,292.3,2
641,165.8,1
642,752.9,4
643,367.2,3
644,318.1,2
645,130.2,0
646,752.9,4
647,346.3,2
648,159.7,0
649,431.1,3
650,214.9,1
651,483.9,4
652,551.4,4
653,373.4,3
654,351.3,3
655,1059.9,4
656,840.1,4
657,713.6,4
658,357.4,3
659,358.6,3
660,402.8,3
661,423.7,3
662,658.3,4
663,300.9,2
664,208.8,1
665,519.5,4
666,467.9,4
667,400.4,3
668,1376.8,4
669,194.0,1
670,1002.2,4
671,316.9,2
672,777.4,4
673,234.6,1
674,146.1,0
675,367.2,3
676,291.1,2
677,501.1,4
678,1358.3,4
679,348.8,2
680,288.6,2
681,382.0,3
682,299.7,2
683,681.6,4
684,788.5,4
685,309.5,2
686,377.0,3
687,455.6,3
688,235.8,1
689,339.0,2
690,196.5,1
691,404.1,3
692,136.3,0
693,717.2,4
694,367.2,3
695,316.9,2
696,283.7,2
697,897.8,4
698,461.8,4
699,358.6,3
700,335.3,2
701,270.2,1
702,443.4,3
703,323.0,2
704,773.7,4
705,730.7,4
706,713.6,4
707,121.6,0
708,411.4,3
709,175.6,1
710,499.9,4
711,312.0,2
712,235.8,1
713,937.1,4
714,406.5,3
715,92.1,0
716,648.5,4
717,1163.1,4
718,862.2,4
719,1279.7,4
720,518.3,4
721,261.6,1
722,327.9,2
723,434.8,3
724,460.6,4
725,207.6,1
726,283.7,2
727,1101.7,4
728,181.8,1
729,434.8,3
730,1142.2,4
731,164.6,0
732,632.5,4
733,183.0,1
734,472.8,4
735,281.2,2
736,245.6,1
737,1315.3,4
738,267.7,1
739,244.4,1
740,630.0,4
741,358.6,3
742,410.2,3
743,68.8,0
744,227.2,1
745,246.9,1
746,550.2,4
747,755.3,4
748,668.1,4
749,54.0,0
750,385.6,3
751,191.6,1
752,292.3,2
753,332.8,2
754,1139.7,4
755,428.6,3
756,732.0,4
757,249.3,1
758,303.4,2
759,926.0,4
760,987.4,4
761,240.7,1
762,884.3,4
763,515.8,4
764,369.7,3
765,582.1,4
766,239.5,1
767,334.1,2
768,757.8,4
769,250.5,1
770,1339.9,4
771,458.1,3
772,713.6,4
773,969.0,4
774,449.5,3
775,179.3,1
776,337.7,2
777,160.9,0
778,589.5,4
779,124.0,0
780,335.3,2
781,138.8,0
782,845.0,4
783,668.1,4
784,689.0,4
785,401.6,3
786,267.7,1
787,647.2,4
788,375.8,3
789,296.0,2
790,804.4,4
791,109.3,0
792,1111.5,4
793,379.5,3
794,205.1,1
795,272.6,1
796,152.3,0
797,434.8,3
798,359.8,3
799,330.4,2
800,469.2,4
801,503.5,4
802,372.1,3
803,483.9,4
804,93.3,0
805,299.7,2
806,416.3,3
807,292.3,2
808,401.6,3
809,351.3,3
810,282.5,2
811,221.1,1
812,363.5,3
813,158.4,0
814,332.8,2
815,497.4,4
816,1021.8,4
817,1069.7,4
818,261.6,1
819,267.7,1
820,1220.8,4
821,883.0,4
822,380.7,3
823,140.0,0
824,164.6,0
825,119.1,0
826,455.6,3
827,359.8,3
828,167.0,1
829,926.0,4
830,660.7,4
831,156.0,0
832,180.5,1
833,1082.0,4
834,593.2,4
835,373.4,3
836,286.2,2
837,910.1,4
838,1451.7,4
839,852.3,4
840,485.1,4
841,350.0,2
842,1037.8,4
843,366.0,3
844,288.6,2
845,433.5,3
846,760.2,4
847,1127.4,4
848,179.3,1
849,206.3,1
850,482.7,4
851,625.1,4
852,315.6,2
853,682.9,4
854,654.6,4
855,487.6,4
856,216.2,1
857,270.2,1
858,273.9,1
859,343.9,2
860,800.8,4
861,350.0,2
862,131.4,0
863,534.2,4
864,820.4,4
865,170.7,1
866,251.8,1
867,266.5,1
868,223.5,1
869,857.2,4
870,788.5,4
871,223.5,1
872,273.9,1
873,201.4,1
874,407.7,3
875,422.5,3
876,289.8,2
877,320.5,2
878,383.2,3
879,874.4,4
880,1029.2,4
881,566.2,4
882,352.5,3
883,348.8,2
884,458.1,3
885,654.6,4
886,944.4,4
887,191.6,1
888,330.4,2
889,888.0,4
890,326.7,2
891,437.2,3
892,332.8,2
893,1166.7,4
894,880.6,4
895,631.3,4
896,853.6,4
897,1098.0,4
898,417.6,3
899,596.9,4
900,219.8,1
901,318.1,2
902,436.0,3
903,261.6,1
904,219.8,1
905,339.0,2
906,444.6,3
907,276.3,2
908,335.3,2
909,271.4,1
910,1141.0,4
911,348.8,2
912,313.2,2
913,1301.8,4
914,546.5,4
915,335.3,2
916,596.9,4
917,347.6,2
918,196.5,1
919,393.0,3
920,210.0,1
921,679.2,4
922,754.1,4
923,635.0,4
924,411.4,3
925,346.3,2
926,99.5,0
927,199.0,1
928,393.0,3
929,1099.2,4
930,1296.9,4
931,571.1,4
932,997.3,4
933,379.5,3
934,169.5,1
935,542.8,4
936,622.7,4
937,433.5,3
938,637.4,4
939,494.9,4
940,218.6,1
941,256.7,1
942,653.4,4
943,25.8,0
944,320.5,2
945,316.9,2
946,1094.3,4
947,930.9,4
948,174.4,1
949,817.9,4
950,485.1,4
951,677.9,4
952,1024.3,4
953,933.4,4
954,382.0,3
955,179.3,1
956,1241.7,4
957,185.5,1
958,324.2,2
959,277.6,2
960,291.1,2
961,320.5,2
962,262.8,1
963,671.8,4
964,564.9,4
965,1109.0,4
966,806.9,4
967,228.4,1
968,332.8,2
969,409.0,3
970,776.2,4
971,1234.3,4
972,384.4,3
973,310.7,2
974,588.3,4
975,248.1,1
976,437.2,3
977,395.5,3
978,174.4,1
979,1201.1,4
980,297.2,2
981,275.1,2
982,778.6,4
983,380.7,3
984,174.4,1
985,372.1,3
986,211.2,1
987,384.4,3
988,937.1,4
989,718.5,4
990,283.7,2
991,299.7,2
992,309.5,2
993,315.6,2
994,412.7,3
995,421.3,3
996,549.0,4
997,105.6,0
998,463.0,4
999,412.7,3
1000,334.1,2
1001,378.3,3
1002,777.4,4
1003,304.6,2
1004,497.4,4
1005,250.5,1
1006,1397.6,4
1007,599.3,4
1008,323.0,2
1009,358.6,3
1010,233.3,1
1011,784.8,4
1012,298.4,2
1013,1160.6,4
1014,937.1,4
1015,653.4,4
1016,208.8,1
1017,391.8,3
1018,165.8,1
1019,650.9,4
1020,647.2,4
1021,280.0,2
1022,977.6,4
1023,609.2,4
1025,313.2,2
1026,312.0,2
1027,413.9,3
1028,456.9,3
1029,266.5,1
1030,426.2,3
1031,598.1,4
1032,129.0,0
1033,224.8,1
1034,211.2,1
1035,487.6,4
1036,702.5,4
1037,524.4,4
1038,448.3,3
1039,1083.2,4
1040,405.3,3
1041,1035.3,4
1042,432.3,3
1043,368.4,3
1044,28.2,0
1045,261.6,1
1046,674.3,4
1047,391.8,3
1048,379.5,3
1049,369.7,3
1050,647.2,4
1051,488.8,4
1052,486.3,4
1053,579.7,4
1054,1206.0,4
1055,1068.5,4
1056,232.1,1
1057,291.1,2
1058,553.9,4
1059,243.2,1
1060,794.6,4
1061,1137.3,4
1062,240.7,1
1063,588.3,4
1064,253.0,1
1065,415.1,3
1066,248.1,1
1067,456.9,3
1068,883.0,4
1069,230.9,1
1070,872.0,4
1071,1107.8,4
1072,167.0,1
1073,335.3,2
1074,388.1,3
1075,277.6,2
1076,284.9,2
1077,1037.8,4
1078,423.7,3
1079,373.4,3
1080,448.3,3
1081,666.9,4
1082,940.8,4
1083,101.9,0
1084,919.9,4
1085,899.0,4
1086,513.4,4
1087,444.6,3
1088,436.0,3
1089,580.9,4
1090,383.2,3
1091,366.0,3
1092,797.1,4
1093,348.8,2
1094,346.3,2
1095,502.3,4
1096,552.7,4
1097,420.0,3
1098,1249.0,4
1099,357.4,3
1100,885.5,4
1101,208.8,1
1102,343.9,2
1103,443.4,3
1104,56.5,0
1105,385.6,3
1106,233.3,1
1107,292.3,2
1108,711.1,4
1109,643.6,4
1110,479.0,4
1111,537.9,4
1112,450.7,3
1113,659.5,4
1114,318.1,2
1115,923.6,4
1116,318.1,2
1117,348.8,2
1118,206.3,1
1119,272.6,1
1120,1411.1,4
1121,625.1,4
1122,1015.7,4
1123,277.6,2
1124,377.0,3
1125,352.5,3
1126,382.0,3
1127,464.2,4
1128,275.1,2
1129,368.4,3
1130,480.2,4
1131,1072.2,4
1132,331.6,2
1133,428.6,3
1134,318.1,2
1135,211.2,1
1136,757.8,4
1137,525.6,4
1138,373.4,3
1139,490.0,4
1140,120.4,0
1141,886.7,4
1142,108.1,0
1143,192.8,1
1144,181.8,1
1145,827.8,4
1146,212.5,1
1147,284.9,2
1148,300.9,2
1149,485.1,4
1150,266.5,1
1151,377.0,3
1152,378.3,3
1153,250.5,1
1154,292.3,2
1155,545.3,4
1156,256.7,1
1157,739.3,4
1158,482.7,4
1159,315.6,2
1160,307.0,2
1161,169.5,1
1162,362.3,3
1163,294.8,2
1164,799.5,4
1165,1301.8,4
1166,105.6,0
1167,316.9,2
1168,454.4,3
1169,294.8,2
1170,806.9,4
1171,288.6,2
1172,288.6,2
1173,307.0,2
1174,455.6,3
1175,284.9,2
1176,183.0,1
1177,214.9,1
1178,405.3,3
1179,346.3,2
1180,178.1,1
1181,1405.0,4
1182,386.9,3
1183,1020.6,4
1184,298.4,2
1185,870.8,4
1186,593.2,4
1187,1483.6,4
1188,910.1,4
1189,109.3,0
1190,445.8,3
1191,523.2,4
1192,905.1,4
1193,539.2,4
1194,397.9,3
1195,466.7,4
1196,207.6,1
1197,319.3,2
1198,261.6,1
1199,267.7,1
1200,407.7,3
1201,793.4,4
1202,378.3,3
1203,294.8,2
1204,153.5,0
1205,206.3,1
1206,323.0,2
1207,1075.9,4
1208,939.5,4
1209,310.7,2
1210,722.2,4
1211,282.5,2
1212,1039.0,4
1213,294.8,2
1214,743.0,4
1215,709.9,4
1216,460.6,4
1217,375.8,3
1218,251.8,1
1219,471.6,4
1220,578.5,4
1221,299.7,2
1222,171.9,1
1223,1080.8,4
1224,493.7,4
1225,461.8,4
1226,294.8,2
1227,158.4,0
1228,368.4,3
1229,1099.2,4
1230,352.5,3
1231,546.5,4
1232,305.8,2
1233,275.1,2
1234,596.9,4
1235,496.2,4
1236,273.9,1
1237,271.4,1
1238,359.8,3
1239,218.6,1
1240,476.5,4
1241,340.2,2
1242,170.7,1
1243,411.4,3
1244,1077.1,4
1245,601.8,4
1246,507.2,4
1247,903.9,4
1248,654.6,4
1249,186.7,1
1250,292.3,2
1251,784.8,4
1252,393.0,3
1253,320.5,2
1254,341.4,2
1255,341.4,2
1256,100.7,0
1257,293.5,2
1258,99.5,0
1259,1249.0,4
1260,383.2,3
1261,596.9,4
1262,249.3,1
1263,210.0,1
1264,359.8,3
1265,1257.6,4
1266,1084.5,4
1267,693.9,4
1268,379.5,3
1269,275.1,2
1270,370.9,3
1271,245.6,1
1272,503.5,4
1273,199.0,1
1274,391.8,3
1275,303.4,2
1276,288.6,2
1277,213.7,1
1278,396.7,3
1279,1088.1,4
1280,684.1,4
1281,539.2,4
1282,551.4,4
1283,943.2,4
1284,357.4,3
1285,331.6,2
1286,587.1,4
1287,318.1,2
1288,555.1,4
1289,751.6,4
1290,1163.1,4
1291,287.4,2
1292,1285.9,4
1293,431.1,3
1294,216.2,1
1295,315.6,2
1296,206.3,1
1297,379.5,3
1298,1015.7,4
1299,230.9,1
1300,362.3,3
1301,136.3,0
1302,488.8,4
1303,664.4,4
1304,369.7,3
1305,859.7,4
1306,340.2,2
1307,416.3,3
1308,374.6,3
1309,324.2,2
1310,312.0,2
1311,1417.3,4
1312,385.6,3
1313,657.1,4
1314,289.8,2
1315,913.7,4
1316,339.0,2
1317,503.5,4
1318,385.6,3
1319,413.9,3
1320,391.8,3
1321,323.0,2
1322,212.5,1
1323,336.5,2
1324,281.2,2
1325,524.4,4
1326,314.4,2
1327,391.8,3
1328,383.2,3
1329,266.5,1
1330,336.5,2
1331,406.5,3
1332,868.3,4
1333,612.8,4
1334,243.2,1
1335,525.6,4
1336,228.4,1
1337,217.4,1
1338,486.3,4
1339,541.6,4
1340,415.1,3
1341,375.8,3
1342,230.9,1
1343,470.4,4
1344,352.5,3
1345,406.5,3
1346,244.4,1
1347,378.3,3
1348,76.1,0
1349,352.5,3
1350,159.7,0
1351,390.6,3
1352,985.0,4
1353,405.3,3
1354,454.4,3
1355,187.9,1
1356,450.7,3
1357,372.1,3
1358,829.0,4
1359,227.2,1
1360,671.8,4
1361,351.3,3
1362,520.7,4
1363,562.5,4
1364,912.5,4
1365,409.0,3
1366,588.3,4
1367,429.9,3
1368,421.3,3
1369,396.7,3
1370,1317.8,4
1371,953.0,4
1372,504.8,4
1373,321.8,2
1374,825.3,4
1375,267.7,1
1376,756.5,4
1377,237.0,1
1378,260.4,1
1379,250.5,1
1380,563.7,4
1381,394.2,3
1382,287.4,2
1383,440.9,3
1384,346.3,2
1385,480.2,4
1386,486.3,4
1387,510.9,4
1388,377.0,3
1389,471.6,4
1390,184.2,1
1391,375.8,3
1392,486.3,4
1393,566.2,4
1394,1057.4,4
1395,564.9,4
1396,553.9,4
1397,307.0,2
1398,537.9,4
1399,1059.9,4
1400,691.4,4
1401,147.4,0
1402,359.8,3
1403,436.0,3
1404,563.7,4
1405,986.2,4
1406,440.9,3
1407,966.6,4
1408,353.7,3
1409,436.0,3
1410,890.4,4
1411,286.2,2
1412,1160.6,4
1413,447.0,3
1414,434.8,3
1415,935.9,4
1416,443.4,3
1417,1128.7,4
1418,310.7,2
1419,429.9,3
1420,506.0,4
1421,547.8,4
1422,283.7,2
1423,440.9,3
1424,486.3,4
